ID	Cancer	PAX5	ZCCHC7	Type	Label
SJALL043550_D1	BALL	54.9492	36.7628	WT	BALL-WT
SJALL043552_D1	BALL	26.5825	153.5546	WT	BALL-WT
SJALL043553_D1	BALL	20.3642	56.266	WT	BALL-WT
SJALL043558_D1	TALL	0.3667	11.8601	WT	TALL-WT
SJALL043559_D1	BALL	36.557	99.1028	Fusion	BALL-Fusion
SJALL043560_D1	BALL	22.061	69.0007	WT	BALL-WT
SJALL043835_D1	BALL	28.4135	80.0925	WT	BALL-WT
SJALL043836_D1	BALL	15.3738	84.1997	WT	BALL-WT
SJALL043838_D1	BALL	69.6862	211.5622	WT	BALL-WT
SJALL043839_D1	BALL	35.9352	99.9187	WT	BALL-WT
SJALL043847_D1	BALL	21.0281	78.9593	WT	BALL-WT
SJALL043848_D1	BALL	26.468	105.5243	WT	BALL-WT
SJALL043849_D1	BALL	14.3751	63.3255	WT	BALL-WT
SJALL043850_D1	BALL	79.7342	101.1803	WT	BALL-WT
SJALL043851_D1	BALL	18.8304	43.6978	WT	BALL-WT
SJALL043852_D1	BALL	54.7738	90.9908	WT	BALL-WT
SJALL043853_D1	BALL	41.5202	32.4854	WT	BALL-WT
SJALL043854_D1	BALL	62.3896	51.6863	WT	BALL-WT
SJALL043855_D1	BALL	72.544	257.8226	WT	BALL-WT
SJALL043856_D1	BALL	49.9224	125.0044	WT	BALL-WT
SJALL043857_D1	TALL	0.1975	6.6495	WT	TALL-WT
SJALL043858_D1	BALL	80.6968	93.6715	WT	BALL-WT
SJALL043859_D1	BALL	30.7062	10.9309	WT	BALL-WT
SJALL043860_D1	BALL	44.1292	112.226	WT	BALL-WT
SJALL043861_D1	TALL	2.0022	9.969	WT	TALL-WT
SJALL043863_D1	BALL	35.6791	69.6545	WT	BALL-WT
SJALL043864_D1	BALL	73.9369	73.9048	Fusion	BALL-Fusion
SJALL043866_D1	BALL	28.3297	63.3646	WT	BALL-WT
SJALL043867_D1	BALL	55.6793	167.3477	WT	BALL-WT
SJALL043868_D1	BALL	67.6448	115.1227	WT	BALL-WT
SJALL043869_D1	TALL	0.0762	12.2822	WT	TALL-WT
SJALL045805_D1	BALL	25.148	66.8187	WT	BALL-WT
SJAML001417_D1	AML	0.594	17.245	WT	xAML-WT
SJAML040498_D1	AML	0.066	2.7364	WT	xAML-WT
SJAML040499_D1	AML	4.2411	4.5496	WT	xAML-WT
SJAML040500_D1	AML	1.1424	6.3949	WT	xAML-WT
SJAML040501_D1	AML	0.1328	5.6314	WT	xAML-WT
SJAML040502_D1	AML	2.4173	4.8465	WT	xAML-WT
SJAML040504_D1	AML	0.2285	4.3252	WT	xAML-WT
SJAML040505_D1	AML	1.0538	2.5708	WT	xAML-WT
SJAML040506_D1	AML	0.2953	4.2182	WT	xAML-WT
SJAML040507_D1	AML	4.22	11.3879	WT	xAML-WT
SJAML040508_D1	AML	0.0778	5.5218	WT	xAML-WT
SJAML040509_D1	AML	8.824	11.2647	WT	xAML-WT
SJAML040510_D1	AML	0.7715	10.9289	WT	xAML-WT
SJAML040511_D1	AML	0.4689	1.5113	WT	xAML-WT
SJAML040512_D1	AML	0.7453	8.4403	WT	xAML-WT
SJAML040513_D1	AML	0.1833	4.3851	WT	xAML-WT
SJAML040514_D1	AML	1.6227	4.6135	WT	xAML-WT
SJAML040515_D1	AML	0.8216	7.3472	WT	xAML-WT
SJAML040516_D1	AML	1.5444	9.1716	WT	xAML-WT
SJAML040517_D2	AML	2.5569	1.7146	WT	xAML-WT
SJAML040518_D1	AML	4.1552	4.2636	WT	xAML-WT
SJAML040519_D1	AML	0.7612	1.8837	WT	xAML-WT
SJAML040520_D1	AML	0.5212	1.6718	WT	xAML-WT
SJAML040521_D1	AML	0.0922	4.7557	WT	xAML-WT
SJAML040522_D1	AML	0.7089	3.509	WT	xAML-WT
SJAML040523_D1	AML	0.7564	5.9866	WT	xAML-WT
SJAML040524_D1	AML	0.197	6.2039	WT	xAML-WT
SJAML040525_D1	AML	0.2385	12.4702	WT	xAML-WT
SJAML040526_D1	AML	0.5056	0.6612	WT	xAML-WT
SJAML040527_D1	AML	0.5081	2.4723	WT	xAML-WT
SJAML040528_D1	AML	0.2728	2.1109	WT	xAML-WT
SJAML040529_D2	AML	0.5997	4.0944	WT	xAML-WT
SJAML040530_D1	AML	4.6577	10.7301	WT	xAML-WT
SJAML040531_D1	AML	0.1723	1.5459	WT	xAML-WT
SJAML040532_D1	AML	0.9063	2.1488	WT	xAML-WT
SJAML040533_D1	AML	8.475	12.154	WT	xAML-WT
SJAML040534_D1	AML	0.2061	0.9097	WT	xAML-WT
SJAML040535_D1	AML	0.8188	2.5113	WT	xAML-WT
SJAML040536_D1	AML	0.8975	3.2127	WT	xAML-WT
SJAML040537_D1	AML	0.2207	4.9194	WT	xAML-WT
SJAML040538_D2	AML	11.9431	17.7502	WT	xAML-WT
SJAML040539_D1	AML	0.3461	2.2727	WT	xAML-WT
SJAML040540_D1	AML	0.9115	1.3116	WT	xAML-WT
SJAML040541_D1	AML	4.0983	4.4698	WT	xAML-WT
SJAML040542_D1	AML	0.5626	4.8149	WT	xAML-WT
SJAML040543_D1	AML	3.3748	7.9057	WT	xAML-WT
SJAML040544_D1	AML	0.5037	3.1105	WT	xAML-WT
SJAML040545_D1	AML	1.5125	4.5542	WT	xAML-WT
SJAML040546_D1	AML	24.3588	11.6728	WT	xAML-WT
SJAML040547_D1	AML	0.3557	2.4318	WT	xAML-WT
SJAML040548_D2	AML	16.778	27.5722	WT	xAML-WT
SJAML040549_D1	AML	0.0427	2.8735	WT	xAML-WT
SJAML040550_D1	AML	0.7016	3.6206	WT	xAML-WT
SJAML040551_D1	AML	0.4439	2.812	WT	xAML-WT
SJAML040552_D1	AML	0.2664	6.3557	WT	xAML-WT
SJAML040553_D1	AML	0.2766	3.321	WT	xAML-WT
SJAML040554_D1	AML	2.0902	3.1527	WT	xAML-WT
SJAML040555_D2	AML	2.6153	10.5103	WT	xAML-WT
SJAML040556_D1	AML	0.0259	1.482	WT	xAML-WT
SJAML040557_D1	AML	0.3277	2.4617	WT	xAML-WT
SJAML040558_D1	AML	0.2137	4.0241	WT	xAML-WT
SJAML040559_D1	AML	0.4065	6.7707	WT	xAML-WT
SJAML040560_D1	AML	5.8652	5.2965	WT	xAML-WT
SJAML040561_D1	AML	0.059	2.7199	WT	xAML-WT
SJAML040562_D1	AML	0.4017	2.9956	WT	xAML-WT
SJAML040563_D1	AML	0.8855	8.6189	WT	xAML-WT
SJAML040564_D1	AML	0.2242	0.7066	WT	xAML-WT
SJAML040565_D1	AML	8.6503	14.0806	WT	xAML-WT
SJAML040566_D1	AML	0.2595	3.323	WT	xAML-WT
SJAML040567_D1	AML	0.4135	1.9233	WT	xAML-WT
SJAML040568_D1	AML	0.4368	0.5253	WT	xAML-WT
SJAML040569_D1	AML	0.6946	2.0605	WT	xAML-WT
SJAML040570_D1	AML	1.5039	1.9248	WT	xAML-WT
SJAML040571_D1	AML	0.5841	1.2952	WT	xAML-WT
SJAML040572_D1	AML	2.8142	3.6226	WT	xAML-WT
SJAML040573_D1	AML	2.3635	4.1692	WT	xAML-WT
SJAML040574_D1	AML	5.2474	8.6122	WT	xAML-WT
SJAML040575_D1	AML	1.0943	5.0434	WT	xAML-WT
SJAML040576_D1	AML	18.1776	45.6389	WT	xAML-WT
SJAML040577_D1	AML	1.9293	3.1199	WT	xAML-WT
SJAML040578_D1	AML	3.7522	3.4737	WT	xAML-WT
SJAML040579_D1	AML	0.1143	8.2754	WT	xAML-WT
SJAML040580_D1	AML	0.0334	3.2871	WT	xAML-WT
SJAML040582_D1	AML	0.7481	2.9977	WT	xAML-WT
SJAML040583_D1	AML	0.172	3.2852	WT	xAML-WT
SJAML040584_D1	AML	0.9078	7.1993	WT	xAML-WT
SJAML040585_D1	AML	3.0732	5.7251	WT	xAML-WT
SJAML040586_D1	AML	0.6556	4.5288	WT	xAML-WT
SJAML040587_D2	AML	1.483	1.6946	WT	xAML-WT
