Sample	Cancer	PAX5	ZCCHC7	Type
SJBALL030034_D1	BALL	39.204	122.279	WT
SJBALL030036_D1	BALL	22.588	175.718	WT
SJBALL030040_D1	BALL	26.093	70.152	WT
SJBALL030042_D1	BALL	20.297	81.948	WT
SJBALL030045_D1	BALL	75.975	63.665	WT
SJBALL030048_D1	BALL	41.074	85.813	WT
SJBALL030052_D1	BALL	47.392	127.702	WT
SJBALL030054_D1	BALL	38.485	92.537	WT
SJBALL030057_D1	BALL	11.964	19.851	WT
SJBALL030059_D1	BALL	39.38	298.391	WT
SJBALL030072_D1	BALL	20.293	119.273	WT
SJBALL030074_D1	BALL	17.862	17.849	WT
SJBALL030080_D1	BALL	7.098	26.129	WT
SJBALL030090_D1	BALL	28.845	51.268	WT
SJBALL030091_D1	BALL	32.109	94.218	WT
SJBALL030095_D1	BALL	45.101	148.229	WT
SJBALL030103_D1	BALL	17.644	86.072	WT
SJBALL030104_D1	BALL	43.106	69.971	WT
SJBALL030108_D1	BALL	30.831	74.418	WT
SJBALL030123_D1	BALL	93.209	132.973	WT
SJBALL030126_D1	BALL	30.148	75.72	WT
SJBALL030127_D1	BALL	87.526	71.892	WT
SJBALL030130_D1	BALL	64.856	78.616	WT
SJBALL030132_D1	BALL	76.458	92.73	WT
SJBALL030133_D1	BALL	40.477	56.414	WT
SJBALL030143_D1	BALL	26.974	40.335	WT
SJBALL030144_D1	BALL	171.441	232.277	WT
SJBALL030145_D1	BALL	55.347	193.306	WT
SJBALL030150_D1	BALL	18.458	88.572	WT
SJBALL030161_D1	BALL	30.197	191.892	WT
SJBALL030164_D1	BALL	43.636	47.821	WT
SJBALL030170_D1	BALL	20.649	85.748	WT
SJBALL030174_D1	BALL	76.599	185.471	WT
SJBALL030190_D1	BALL	22.423	161.042	WT
SJBALL030196_D1	BALL	55.165	210.725	WT
SJBALL030207_D1	BALL	53.661	125.222	WT
SJBALL030214_D1	BALL	27.804	200.797	WT
SJBALL030215_D1	BALL	24.083	125.505	WT
SJBALL030216_D1	BALL	24.879	37.506	WT
SJBALL030219_D1	BALL	13.548	43.909	WT
SJBALL030221_D1	BALL	14.82	60.501	WT
SJBALL030225_D1	BALL	5.068	20.845	WT
SJBALL030227_D1	BALL	42.567	68.512	WT
SJBALL030247_D1	BALL	42.181	116.979	WT
SJBALL030248_D1	BALL	65.39	42.489	WT
SJBALL030254_D1	BALL	39.29	82.748	WT
SJBALL030258_D1	BALL	24.649	155.447	WT
SJBALL030265_D1	BALL	12.151	137.798	WT
SJBALL030266_D1	BALL	26.846	41.981	WT
SJBALL030267_D1	BALL	13.851	95.596	WT
SJBALL030268_D1	BALL	46.467	198.741	WT
SJBALL030270_D1	BALL	10.305	91.612	WT
SJBALL030271_D1	BALL	17.338	123.009	WT
SJBALL030275_D1	BALL	46.006	65.154	WT
SJBALL030276_D1	BALL	18.283	82.691	WT
SJBALL030282_D1	BALL	39.899	220.466	WT
SJBALL030285_D1	BALL	16.856	92.467	WT
SJBALL030288_D1	BALL	55.336	99.019	WT
SJBALL030290_D1	BALL	20.747	137.029	WT
SJBALL030294_D1	BALL	42.473	133.122	WT
SJBALL030295_D1	BALL	45.18	145.983	WT
SJBALL030301_D1	BALL	43.588	234.919	WT
SJBALL030311_D1	BALL	36.428	52.877	WT
SJBALL030313_D1	BALL	18.546	73.743	WT
SJBALL030318_D1	BALL	15.781	100.885	WT
SJBALL030323_D1	BALL	33.444	37.631	WT
SJBALL030325_D1	BALL	46.238	109.899	WT
SJBALL030327_D1	BALL	32.753	90.975	WT
SJBALL030331_D1	BALL	23.056	177.457	WT
SJBALL030334_D1	BALL	32.082	141.661	WT
SJBALL030337_D1	BALL	45.186	64.944	WT
SJBALL030344_D1	BALL	26.433	56.23	WT
SJBALL030346_D1	BALL	86.253	183.939	WT
SJBALL030366_D1	BALL	14.033	22.309	WT
SJBALL083_D	BALL	48.4409	40.9474	WT
SJBALL101_D	BALL	57.2096	119.039	WT
SJBALL102_D	BALL	46.1051	119.039	WT
SJBALL191_D	BALL	68.6833	100.164	WT
SJBALL195_D	BALL	123.174	119.488	WT
SJBALL204_D	BALL	62.8802	50.4339	WT
SJBALL215_D	BALL	120.02	64.1407	WT
SJBALL218_D	BALL	220.266	103.542	WT
SJBALL227_D	BALL	183.779	125.399	WT
SJBALL230_D	BALL	131.233	142.31	WT
SJBALL231_D	BALL	86.4345	84.0297	WT
SJBALL237_D	BALL	87.1098	91.5122	WT
SJBALL239_D	BALL	31.9781	57.8078	WT
SJBALL247_D	BALL	50.0105	21.4215	WT
SJBALL255_D	BALL	68.8153	453.229	WT
SJBALL262_D	BALL	29.8421	45.4118	WT
SJBALL263_D	BALL	45.2206	41.024	WT
SJBALL264_D	BALL	35.1574	80.818	WT
SJBALL265_D	BALL	40.9474	97.6713	WT
SJBALL266_D	BALL	62.6803	44.6459	WT
SJBALL267_D	BALL	72.5349	153.064	WT
SJBALL268_D	BALL	39.4153	121.065	WT
SJBALL269_D	BALL	56.72	41.261	WT
SJBALL270_D	BALL	61.7599	41.9761	WT
