geneName,rowMean,rowSD,AnovaP_genetic,FDR_genetic,Rank_genetic,AnovaP_OPP,FDR_OPP,Rank_OPP,Rank_genetic_GSEA,Rank_OPP_GSEA
UFC1,13.697783408925,0.162748761065999,0.432677322332766,0.565021796974597,0.247934797980216,0.314442479744252,0.41077991352036,0.386390800859926,0.363835866631266,0.502458787466293
ATP5MG,12.9543544878004,0.320548055655881,0.0345631536004102,0.0871887803986773,-1.05953939722842,6.61888629126172e-05,0.000452657789506261,-3.34423000172566,-1.4613866386245,-4.17921507978228
CDCA5,12.1177540815394,0.149806974127112,0.305084357068233,0.440515394406085,0.356038909978851,0.0286988723572107,0.0589353892149677,-1.22962384400059,0.515580059853867,-1.54213516733089
HDAC3,12.3371762321766,0.093704248303356,0.943398454797882,0.959464250265727,0.0179712024830371,0.0323107309736433,0.0650011415121942,-1.18707901646339,0.0253048394251726,-1.49065321671994
KAT8,11.7690782687676,0.143250207098262,0.347563181316034,0.482194624321759,-0.316777635601888,0.215182276497173,0.301878222368063,-0.520168216047852,-0.458966236245799,-0.667193502227118
CEPT1,13.1053844346486,0.136732284621673,0.298256124536783,0.433336196781023,0.36317503262339,0.644420634818927,0.723916093707351,-0.140311768266423,0.525410629551268,-0.190830561603975
ITPRIP,11.880491758026,0.123320233534478,0.239658297887811,0.3725438916319,-0.428822553061745,0.150566967046172,0.225850450569258,0.646179038688829,-0.620407529474198,0.82227029774451
BAZ2A,11.8053348331697,0.117707374910287,0.983091228689828,0.988480139105512,-0.00503205226182562,0.00520072318874021,0.0145872961280719,-1.83602520060019,-0.00740617873124485,-2.28393626116497
BCL2L11,12.0861602464739,0.168825072547586,0.352692835761807,0.487294876013477,-0.312208155273276,0.618489188483963,0.701692174078559,0.153853367098733,-0.452603362052711,0.208667887664278
LTF,17.4431959165231,0.362140251495458,0.000856478684512284,0.00600939142575832,2.22116950700183,7.58449138232038e-06,8.04833630983419e-05,-4.09429388436897,3.06728344100423,-5.12007353778535
ZNF148,12.0224181811038,0.22572067472863,0.469144847072391,0.598938089625603,-0.222618066965539,0.0057982917413062,0.0158657572633717,-1.7995391944457,-0.328693049455074,-2.23669993688515
SMG1,11.8955643958678,0.108600476972942,0.502253224294732,0.629164039018961,0.201236108206964,0.51920910767543,0.615572016856188,-0.210721130882742,0.299077266548025,-0.284657697990256
NDUFB5,12.6182447855839,0.441923209424749,0.00241120748865057,0.0123738458162202,-1.90749529979023,2.00125936158485e-09,2.56961702027494e-07,-6.59013159977197,-2.61776541620953,-8.69869662350481
KRT78,11.8261783673852,0.174325595847329,0.814401430758975,0.874966712462274,-0.0580084691136213,0.700794857318119,0.774028985228547,0.111242775894476,-0.0891614720282127,0.154409093835635
HUS1,12.1089918428647,0.0892532784565291,0.212583461881022,0.343126543124113,-0.464545685072776,0.0016560703981448,0.00577432285463116,2.23849893745134,-0.67247052482301,2.7809212056695
GNS,11.7324859244612,0.356548848604559,0.0397911979389526,0.0969485733465182,1.01345857742894,0.00843136080299205,0.0214692459514959,-1.66818320870093,1.40021298594923,-2.07410232554896
GLRX,12.7829373715549,0.165821907123172,0.511973656135458,0.636662801658909,0.196090523948327,0.00655968689176198,0.0175380280458561,1.75601923975836,0.290752385292428,2.18311688995746
BAK1,11.7043190786581,0.228533371563795,0.349456395830867,0.484167264361298,0.315004577529267,0.00347659670122141,0.0105034121514548,1.97866959256628,0.4566070065605,2.4588456862488
TGFBI,13.3874869462354,0.439532352247796,0.232557169322502,0.365711457942551,-0.436861432762118,0.0143792592383466,0.0335537825752604,-1.47425851397593,-0.633470267422265,-1.84226348648338
SELENOT,12.815451582011,0.353291073564288,0.842024568847338,0.892966794466226,0.0491646903255748,0.000293606088325275,0.00147118133623279,2.83233379330133,0.0746752363398322,3.53223494297035
TIMM17A,11.2395409495868,0.27135156837373,0.328530951499805,0.463686629934208,-0.3337754264883,0.000786254853144478,0.00320492454424606,2.49418219091999,-0.483423708501914,3.10443666086323
C3orf38,11.8584843818095,0.169026560327703,0.154852165275845,0.271162877891831,-0.566769765506402,0.105719330170739,0.170216675801609,0.768997895168847,-0.810082717586646,0.975845597186879
TMEM14C,11.8132810917457,0.32502736064253,0.0785269202318076,0.162430230491568,0.789333139418365,0.00646546224010834,0.0173098584475229,1.76170648358105,1.1049814349246,2.1894004203347
GSTZ1,12.3537931307624,0.150066012807443,0.214746480120726,0.345485363333043,-0.461570347011467,0.06935431326611,0.12095203834796,0.917386808279268,-0.668073945897994,1.15892652421694
IFRD1,11.9076869693301,0.18979853853525,4.72956742113295e-05,0.000820643860639825,3.08584527517705,4.65255545752984e-05,0.000338943614608131,-3.46987254339364,4.32517857917891,-4.33230844146304
USP3,11.7658826799174,0.163612693152704,0.306304075586948,0.441531780020928,0.355038031857637,0.986860924263352,0.990786990314265,0.00401970462134433,0.513847224567418,0.00574404700694684
SEL1L3,11.7114458349116,0.180637189049927,0.774050219289818,0.847117393196784,-0.0720564011394279,0.00352867912146454,0.0106294991013735,-1.97348720044706,-0.11123086198773,-2.45238783217934
BAIAP2L1,11.841438303514,0.295176642125551,0.0285307128271442,0.0761472258117076,1.11834591421387,0.0466090421134492,0.087239081740042,-1.05928891436032,1.5446873775533,-1.3315298223864
CASP10,11.1189364190115,0.184716061703576,0.946101486402116,0.960591303902426,-0.0174613492859439,0.932263145441533,0.956090957465598,-0.0195007892654107,-0.0240622752045229,-0.0304614841238343
UQCRB,12.1295572341965,0.328199660926334,0.00301066509222462,0.01441971489527,1.84104332634579,6.01640371601821e-08,2.55842725923902e-06,-5.59202692630187,2.52133755291912,-7.22066302917236
ERAL1,12.1600673203049,0.171288483651848,0.0353499784853337,0.0885676034047373,-1.05272510695571,0.000936572558251395,0.00364964845157751,2.43774896647309,-1.45161084618685,3.0284585712759
EXOC6,11.6183266389373,0.230604603466383,0.163409667403576,0.281540440048564,0.550459214920894,0.565166256675762,0.657015367652041,-0.182424472132112,0.78672225394906,-0.247823775657492
HMCES,12.0243522736154,0.138090815447589,0.0509876219776603,0.116439495988112,-0.933899683085989,0.0863049431608048,0.14433806189316,0.840619130510859,-1.29253524271115,1.06396432912859
CWC25,12.4541698081989,0.37850064588473,0.00578894226161424,0.023653148333851,1.62611104465058,4.22475570124636e-08,2.04701370581144e-06,-5.68887924950244,2.23740078202542,-7.37419839929847
DUS1L,12.8105162335288,0.226565832748489,0.107010554941862,0.20477131526878,-0.68873088018149,0.23049399125561,0.319174208435916,0.495972210010891,-0.970573383745332,0.637340391743078
QPRT,11.5722671890494,0.395133221082363,0.84244704997991,0.893230398162019,0.0490365055632249,0.033789048694307,0.067499243132618,1.1707010968752,0.0744573861530071,1.47122403529314
AP5Z1,11.5675495389072,0.108632198384413,0.900687126841576,0.932443252488797,0.0303775894183634,0.634866166582224,0.715687583750286,-0.145276517165702,0.045426044408037,-0.197317816819436
MAEA,12.2554933123423,0.108633470381376,0.000119621604161609,0.00146629250351796,-2.83377938577103,0.706647753723485,0.77802341651241,-0.109007331661875,-3.92219037786553,-0.150797017229747
ISCA1,11.9640595281727,0.180886391939868,0.709711699371573,0.799184233276123,0.0973530926858797,0.581857788291611,0.671102986900003,-0.173210828250758,0.148918035505738,-0.235183148180332
MAP3K7,13.8206838412567,0.0638670106562818,0.511912983437868,0.636662801658909,0.196090523948327,0.723331581284854,0.791611123264226,0.101488111966482,0.290803855478243,0.140662572814785
TMED1,12.1021438471297,0.321964919974973,0.364254637601912,0.499381770530019,0.301567315213986,0.0313031983822414,0.0633214757350106,-1.19844897226667,0.43859491019051,-1.50441128645374
SUMO2,16.5586776690422,0.604432093390249,0.00149615579084588,0.00887890154261268,-2.05164075983966,0.09038744494915,0.149848262510921,-0.82434828832924,-2.82502318215204,-1.04389188996685
SEPSECS,12.2378696299494,0.27975618975443,0.102038163228897,0.198435443522761,-0.702380753796912,0.414496020393471,0.515086271652763,0.288120025007604,-0.991237367650785,0.382479634786693
CDC45,12.1000292105003,0.201661107074452,1.16015879387121e-07,2.14397193647544e-05,-4.66878090364047,0.000450771513663791,0.00205427018116879,2.68734243782047,-6.93548256371944,3.34604353683516
EEF1AKMT4,12.1372568818941,0.070231647604188,0.852870313837526,0.901304924252991,0.0451282561718893,0.460790404892714,0.559220113310251,0.252417216835754,0.0691170019703927,0.336496572869422
CLP1,12.4720921925952,0.140875281195677,0.751599752752436,0.831712674597575,-0.0800266801856704,0.411546663984723,0.512455489465832,-0.290343850309003,-0.124013371437758,-0.38558091437132
PNPLA8,11.9536684563527,0.240080628282183,0.956691018743628,0.968692616656535,-0.0138140104289081,0.288466832908224,0.382932451232008,-0.416877828236251,-0.0192283031026981,-0.539904113575802
PEX16,11.9691325280914,0.108932223386741,0.548034839760842,0.668183643817325,-0.175104159477326,0.0512284369098768,0.0943720415958133,-1.0251566495482,-0.261191831597879,-1.29048889518303
LMBRD2,11.5340631738227,0.193062189843832,0.273505700393516,0.409063854752795,-0.38820889345425,0.117967314049065,0.186108445256931,-0.730233918941964,-0.563033617690149,-0.928238308749296
GPR180,11.8982657467663,0.154052226044976,0.230912466435499,0.364463156880772,0.438346367406632,0.142354856532102,0.216184075443192,-0.665176300215565,0.636552619884919,-0.846627712014639
TREX1,12.4720758032745,0.224206860723016,0.0263662105983558,0.0717196603289761,-1.1443617759643,2.41605242581455e-05,0.000202428144518492,3.69372910566956,-1.57895228334577,4.61689364621194
MRPS18A,12.5549225276041,0.1665820123015,0.0377521291809446,0.0931291716970852,-1.03091425969927,0.394858945133271,0.496327837054449,0.304231366269314,-1.42305854958555,0.403558019033682
VKORC1L1,13.5141045150841,0.359970390433667,0.010761547946602,0.0376764214408643,1.42393035381682,9.93760379481413e-07,1.76607380934828e-05,4.75299114995277,1.96812525503434,6.00271832225702
