Sample	 Source	 Position	 Absorbance	 Fraction.Number
425628	74759	30.82	0.307859	-100
426494	74755	30.86	0.30359	-100
428229	74757	30.9	0.295338	-100
428855	74772	30.94	0.29276	-100
428882	74754	30.98	0.292139	-100
429939	74769	31.02	0.287513	-100
431146	74764	31.06	0.28164	-100
432204	74730	31.1	0.275694	-100
432691	74739	31.13	0.273636	-100
433178	74735	31.17	0.271225	-100
434181	74764	31.21	0.267287	-100
435101	74789	31.25	0.26364	-100
436942	74891	31.29	0.257789	-100
436782	74819	31.33	0.256571	-100
436933	74723	31.37	0.253236	-100
437452	74718	31.41	0.25067	-100
438511	74742	31.45	0.24638	-100
439791	74757	31.49	0.240827	-100
440647	74764	31.53	0.23704	-100
441110	74756	31.57	0.234672	-100
441606	74804	31.61	0.233686	-100
442639	74812	31.64	0.229124	-100
443618	74834	31.68	0.225205	-100
444616	74817	31.72	0.220143	-100
445011	74812	31.76	0.218189	-100
445126	74811	31.8	0.217633	-100
445980	74797	31.84	0.213328	-100
446541	74804	31.88	0.210947	-100
447540	74902	31.92	0.209054	-100
447766	74863	31.96	0.206955	-100
447940	74816	32	0.204875	-100
448944	74818	32.04	0.200349	-100
449184	74828	32.07	0.199529	-100
449491	74806	32.11	0.197529	-100
449798	74819	32.15	0.196488	-100
449686	74814	32.19	0.196861	-100
450693	74809	32.23	0.192147	-100
451390	74817	32.27	0.189204	-100
451504	74795	32.31	0.188086	-100
451781	74822	32.35	0.187569	-100
451737	74795	32.39	0.18703	-100
452570	74788	32.43	0.183069	-100
453592	74795	32.47	0.178645	-100
453894	74791	32.51	0.177174	-100
454283	74841	32.54	0.176788	-100
454369	74808	32.58	0.175499	-100
455045	74802	32.62	0.172293	5
455814	74811	32.66	0.169084	-100
456080	74793	32.7	0.167398	-100
456215	74785	32.74	0.166573	-100
456182	74812	32.78	0.16746	-100
456794	74830	32.82	0.165209	-100
457048	74815	32.86	0.163662	-100
457569	74825	32.89	0.161604	-100
457657	74807	32.94	0.160718	-100
458019	74831	32.98	0.159757	-100
458268	74813	33.01	0.158152	-100
458559	74792	33.05	0.156279	-100
458672	74790	33.09	0.15572	-100
458584	74801	33.13	0.156414	-100
458897	74810	33.17	0.155264	-100
459066	74776	33.21	0.15358	-100
459257	74806	33.25	0.15355	-100
459140	74790	33.29	0.153634	-100
459064	74781	33.33	0.153726	-100
459870	74767	33.37	0.149754	-100
460753	74799	33.41	0.146704	-100
460576	74786	33.45	0.147135	-100
460147	74790	33.49	0.149151	-100
460448	74782	33.53	0.147594	-100
461017	74778	33.56	0.144958	-100
461275	74799	33.6	0.144387	-100
461067	74773	33.64	0.144599	-100
461092	74776	33.68	0.14457	-100
461806	74785	33.72	0.14165	-100
462318	74827	33.76	0.140532	-100
461995	74807	33.8	0.141415	-100
461443	74814	33.84	0.144053	-100
461474	74793	33.88	0.143341	-100
462046	74826	33.91	0.141709	-100
462587	74801	33.95	0.138631	-100
462138	74796	33.99	0.140481	-100
461651	74774	34.03	0.142036	-100
462004	74822	34.07	0.141785	-100
462133	74776	34.11	0.139956	-100
462000	74769	34.15	0.140353	-100
461591	74776	34.19	0.142357	-100
461107	74758	34.24	0.144011	-100
462073	74793	34.28	0.140687	-100
461806	74774	34.32	0.141349	-100
461854	74757	34.36	0.140672	-100
462089	74792	34.4	0.140588	-100
461675	74810	34.44	0.142915	-100
460996	74752	34.48	0.144339	-100
461176	74749	34.51	0.143458	-100
461452	74800	34.56	0.14363	-100
461264	74803	34.59	0.144546	-100
460701	74785	34.63	0.146552	-100
460332	74787	34.67	0.148246	-100
460862	74823	34.71	0.146877	-100
