Sample	 Source	 Position	 Fraction Number	 Absorbance
434577	74731	20.06	-100	0.264518
434054	74773	20.1	-100	0.268132
432764	74729	20.14	-100	0.273017
431987	74754	20.18	-100	0.277379
431125	74752	20.22	-100	0.281411
430483	74745	20.26	-100	0.284268
429836	74750	20.29	-100	0.287483
428825	74730	20.34	-100	0.291754
428611	74751	20.37	-100	0.29335
427967	74740	20.41	-100	0.296125
427426	74760	20.45	-100	0.299261
426923	74739	20.49	-100	0.301095
426467	74723	20.53	-100	0.302844
425932	74684	20.57	-100	0.304344
425756	74695	20.61	-100	0.305491
425451	74706	20.65	-100	0.307259
425264	74667	20.69	-100	0.30709
425307	74676	20.73	-100	0.30713
425136	74671	20.77	-100	0.307815
425234	74674	20.81	-100	0.307426
424948	74670	20.84	-100	0.308693
425812	74742	20.88	-100	0.306509
425867	74713	20.92	-100	0.305451
425855	74687	20.96	-100	0.304796
426424	74716	21	-100	0.302859
426559	74697	21.04	-100	0.30169
426714	74686	21.08	-100	0.300646
427155	74681	21.12	-100	0.298395
427627	74718	21.16	-100	0.297149
427793	74673	21.2	-100	0.295122
428102	74669	21.24	-100	0.293535
428671	74690	21.28	-100	0.291393
429033	74669	21.32	-100	0.28909
429241	74664	21.36	-100	0.287962
429676	74675	21.4	-100	0.286191
430349	74696	21.43	-100	0.283564
430829	74703	21.47	-100	0.281474
431296	74703	21.51	-100	0.279258
431539	74679	21.55	-100	0.277448
431827	74655	21.59	-100	0.275425
432722	74682	21.63	-100	0.271929
433139	74667	21.67	-100	0.269547
434089	74702	21.71	-100	0.266023
434257	74688	21.75	-100	0.264848
434557	74675	21.79	-100	0.263078
435218	74661	21.83	-100	0.259585
435889	74676	21.87	-100	0.256844
436311	74654	21.9	-100	0.254261
436937	74702	21.95	-100	0.252642
437522	74673	21.98	-100	0.24911
438186	74675	22.02	-100	0.246062
438513	74662	22.06	-100	0.24418
439055	74642	22.1	-100	0.241104
439501	74661	22.14	-100	0.239547
440094	74658	22.18	-100	0.236706
441031	74699	22.22	-100	0.233478
441366	74693	22.26	-100	0.23176
441934	74710	22.3	-100	0.229594
442606	74727	22.34	-100	0.226951
442926	74688	22.38	-100	0.224404
443683	74703	22.41	-100	0.221321
444162	74718	22.45	-100	0.219524
444369	74693	22.49	-100	0.217886
445038	74702	22.53	-100	0.215054
445664	74707	22.57	-100	0.212315
446163	74689	22.61	-100	0.209532
446661	74701	22.65	-100	0.207578
447181	74708	22.69	-100	0.205389
447986	74739	22.73	-100	0.202558
448268	74719	22.76	-100	0.200723
448364	74665	22.81	-100	0.198806
448967	74681	22.84	-100	0.196494
449484	74705	22.89	-100	0.194797
450277	74702	22.92	-100	0.191108
450668	74684	22.96	-100	0.188839
450784	74696	23	-100	0.188641
451406	74719	23.04	-100	0.18645
451801	74690	23.08	-100	0.183866
452387	74688	23.12	-100	0.181159
452579	74679	23.16	-100	0.180044
452477	74664	23.2	-100	0.180094
452978	74684	23.24	-100	0.178378
453577	74699	23.28	-100	0.176085
453708	74683	23.32	-100	0.175056
454033	74673	23.36	-100	0.173317
454085	74643	23.4	-100	0.17226
454052	74643	23.43	-100	0.172409
454346	74671	23.47	-100	0.171852
454665	74696	23.51	-100	0.1711
454759	74662	23.55	-100	0.169746
454678	74663	23.59	-100	0.170138
454468	74660	23.63	-100	0.171001
454613	74690	23.67	-100	0.17117
454367	74684	23.71	-100	0.172113
454070	74697	23.75	-100	0.173807
453603	74684	23.78	-100	0.175557
452810	74681	23.82	-100	0.179055
452423	74711	23.86	-100	0.181626
451375	74665	23.9	-100	0.185111
450167	74686	23.94	-100	0.191169
448755	74682	23.98	-100	0.197488
446873	74663	24.02	-100	0.205566
444860	74663	24.06	-100	0.214804
442199	74645	24.1	-100	0.226587
439247	74711	24.14	-100	0.2421
435515	74689	24.18	-100	0.258956
431249	74646	24.21	-100	0.277919
426642	74671	24.25	-100	0.30058
421394	74657	24.3	-100	0.325521
415311	74668	24.33	-100	0.355574
408789	74711	24.37	-100	0.389139
401127	74675	24.41	-100	0.426867
392292	74682	24.45	-100	0.472629
382942	74658	24.49	-100	0.52133
373680	74673	24.53	-100	0.571837
364027	74681	24.57	-100	0.625607
354178	74716	24.61	-100	0.682687
343725	74734	24.65	-100	0.744477
332504	74693	24.68	-100	0.811264
322586	74680	24.72	-100	0.872869
312622	74725	24.77	-100	0.938298
302415	74733	24.8	-100	1.006436
292618	74697	24.84	-100	1.072834
284548	74751	24.88	-100	1.131534
276637	74734	24.92	-100	1.18876
268290	74711	24.96	-100	1.250818
260584	74685	25	-100	1.309736
253444	74706	25.04	-100	1.367157
246679	74714	25.08	-100	1.422734
241417	74712	25.12	-100	1.466798
235617	74683	25.15	-100	1.515761
229525	74731	25.2	-100	1.570675
225017	74724	25.23	-100	1.61107
221256	74775	25.27	-100	1.646954
217176	74718	25.31	-100	1.683476
213328	74699	25.35	-100	1.719535
209518	74679	25.39	-100	1.75586
206759	74677	25.43	-100	1.782928
204449	74687	25.47	-100	1.806191
202709	74707	25.51	-100	1.824227
200337	74685	25.55	-100	1.847708
197763	74661	25.58	-100	1.87351
196727	74688	25.63	-100	1.884997
195709	74698	25.67	-100	1.895886
194468	74717	25.7	-100	1.909422
193288	74686	25.74	-100	1.921026
192549	74851	25.78	-100	1.93338
192076	74717	25.82	-100	1.934746
192109	74712	25.86	-100	1.934257
